Doc:transcript-martin-omalleys-remarks-on-gun-control-at-the-cnn-democratic-presidential-debate, AVG:115.0, List:[115]
Doc:transcript-jeb-bushs-closing-remarks-at-the-cnn-republican-presidential-debate, AVG:116.0, List:[116]
Doc:transcript-hillary-clintons-remarks-on-black-lives-matter-at-the-cnn-democratic-presidential-debate, AVG:117.0, List:[117]
Doc:transcript-hillary-clintons-remarks-on-benghazi-at-the-cnn-democratic-presidential-debate, AVG:118.0, List:[118]
Doc:transcript-donald-trumps-remarks-on-obamacare-and-single-payer-system-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:119.0, List:[119]
Doc:transcript-martin-omalleys-opening-remarks-at-the-cnn-democratic-presidential-debate, AVG:120.0, List:[120]
Doc:transcript-martin-omalleys-remarks-on-clintons-record-in-iraq-libya-and-syria-at-the-cnn-democratic-presidential-debate, AVG:121.0, List:[121]
Doc:transcript-john-kasichs-remarks-on-hillary-clinton-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:122.0, List:[122]
Doc:transcript-bernie-sanderss-remarks-on-russias-involvement-in-syria-at-the-cnn-democratic-presidential-debate, AVG:123.0, List:[123]
Doc:transcript-hillary-clintons-qa-with-savannah-guthrie-on-benghazi, AVG:124.0, List:[124]
Doc:transcript-marco-rubios-remarks-on-illegal-immigration-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:125.0, List:[125]
Doc:transcript-rand-pauls-closing-remarks-at-the-cnn-republican-presidential-debate, AVG:126.0, List:[126]
Doc:transcript-john-kasichs-on-god-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:127.0, List:[127]
Doc:transcript-donald-trumps-remarks-on-why-hes-a-republican-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:128.0, List:[128]
Doc:transcript-hillary-clintons-remarks-on-income-inequality-at-the-cnn-democratic-presidential-debate, AVG:129.0, List:[129]
Doc:transcript-marco-rubios-remarks-on-voting-against-u-s-military-action-in-syria-at-the-cnn-republican-presidential-debate, AVG:130.0, List:[130]
Doc:transcript-carly-fiorinas-remarks-on-immigration-at-the-cnn-republican-presidential-debate, AVG:131.0, List:[131]
Doc:transcript-bernie-sanderss-remarks-on-income-inequality-at-the-cnn-democratic-presidential-debate, AVG:132.0, List:[132]
Doc:transcript-carly-fiorinas-remarks-on-donald-trump-at-the-cnn-republican-presidential-debate, AVG:133.0, List:[133]
Doc:transcript-ben-carsons-closing-remarks-at-the-cnn-republican-presidential-debate, AVG:134.0, List:[134]
Doc:transcript-ben-carsons-remarks-on-god-and-race-relations-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:135.0, List:[135]
Doc:transcript-ben-carsons-remarks-on-tax-reform-at-the-cnn-republican-presidential-debate, AVG:136.0, List:[136]
Doc:transcript-john-kasichs-remarks-on-raising-taxes-for-hedge-fund-managers-at-the-cnn-republican-presidential-debate, AVG:137.0, List:[137]
Doc:transcript-bernie-sanderss-remarks-on-getting-republicans-to-compromise-at-the-cnn-democratic-presidential-debate, AVG:138.0, List:[138]
Doc:transcript-ben-carsons-remarks-on-immigration-at-the-cnn-republican-presidential-debate, AVG:139.0, List:[139]
Doc:transcript-rick-santorums-closing-statement-in-the-first-republican-presidential-debate, AVG:140.0, List:[140]
Doc:transcript-bernie-sanderss-closing-remarks-at-the-cnn-democratic-presidential-debate, AVG:141.0, List:[141]
Doc:transcript-martin-omalleys-remarks-on-his-record-as-baltimores-mayor-at-the-cnn-democratic-presidential-debate, AVG:142.0, List:[142]
Doc:transcript-donald-trumps-remarks-on-vaccines-autism-at-the-cnn-republican-presidential-debate, AVG:143.0, List:[143]
Doc:transcript-martin-omalleys-remarks-on-why-clinton-should-not-be-the-nominee-at-the-cnn-democratic-presidential-debate, AVG:144.0, List:[144]
Doc:transcript-mike-huckabees-remarks-on-the-iran-nuclear-agreement-at-the-cnn-republican-presidential-debate, AVG:145.0, List:[145]
Doc:transcript-chris-christies-remarks-on-immigration-at-the-cnn-republican-presidential-debate, AVG:146.0, List:[146]
Doc:transcript-marco-rubios-closing-statement-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:147.0, List:[147]
Doc:transcript-jeb-bushs-remarks-on-job-creation-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:148.0, List:[148]
Doc:transcript-ted-cruzs-on-god-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:149.0, List:[149]
